artisan_id,seller_name,artisan_name,studio_name,region,category_id,category_code,category_name,specialty,description,website_url,source_url,verification_status,is_real_data
S020,다도원 공방,박남규,다도원,전남 강진,1,KITCHEN,키친·다이닝,강진 청자 다기 특화 공방,고려청자 다기 및 다도 세트,http://www.dadowon.co.kr,https://kcdfshop.kr,verified_2,true
S021,예향키친(더미),홍길동,예향스튜디오,경기 이천,1,KITCHEN,키친·다이닝,더미 주방공예,더미 데이터 수량 보완용 가상 판매자,,,,unverified,false
S022,이재만 화각공방,이재만,화각공방,경기 인천,2,HOME,홈·인테리어,국가무형유산 화각장 보유자,황소 뿔을 얇게 갈아 그림을 그린 화각 가구 및 소품,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S023,이형만 나전칠기,이형만,전통공예연구소,강원 원주,2,HOME,홈·인테리어,국가무형유산 나전장 보유자,자개와 옻칠을 결합한 나전 보석함 및 수납함,http://www.kpicaa.co.kr,https://support.nihc.go.kr,verified_3,true
S024,박강용 옻칠공방,박강용,남원옻칠연구소,전북 남원,2,HOME,홈·인테리어,전북 무형유산 옻칠장,전통 정제 옻칠 가구 및 인테리어 화병,http://www.namwonott.com,https://kcdf.or.kr,verified_3,true
S025,소품쟁이 자수표구,김경숙,소품쟁이,서울 종로,2,HOME,홈·인테리어,전통 자수 및 병풍 표구,전통 수자수 액자 및 벽장식 소품,http://www.jasukim.kr,https://jasukim.kr,verified_2,true
S026,조화자 민화연구소,조화자,조화자민화,서울 성북,2,HOME,홈·인테리어,서울시 무형유산 민화장,조선 민화 병풍 및 액자 도자기 화병,http://www.minhwa.co.kr,https://kcdfshop.kr,verified_2,true
S027,에이치케이스튜디오,김현경,HK스튜디오,서울 마포,2,HOME,홈·인테리어,전통 문양 디자인 오르골 및 조명,전통 문양 스탠드 조명 및 아크릴 무드등,https://www.kcdfshop.kr,https://kcdfshop.kr,verified_3,true
S028,양석중 소목공방,양석중,양석중소목연구소,경기 안성,2,HOME,홈·인테리어,국가무형유산 소목장 전수교육사,전통 목가구 사방탁자 및 머릿장,http://www.somok.or.kr,https://nihc.go.kr,verified_3,true
S029,김극천 두석공방,김극천,두석연구소,경남 통영,2,HOME,홈·인테리어,국가무형유산 두석장,전통 가구 금속 장석 및 숟가락 손잡이,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S030,예향홈(더미),홍길동,예향스튜디오,경기 이천,2,HOME,홈·인테리어,더미 홈인테리어 공예,더미 데이터 수량 보완용 가상 판매자,,,,unverified,false
S002,정춘모 갓일공방,정춘모,갓일공방,서울 강남,3,FASHION,패션·액세서리,국가무형유산 갓일 입자장,말총과 대올을 이용한 전통 갓 및 정자관 제작,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S005,김혜순 매듭공방,김혜순,매듭공방,서울 종로,3,FASHION,패션·액세서리,국가무형유산 매듭장,전통 명주실 염색 및 엮음 장신구 노리개,http://www.kpicaa.co.kr,https://support.nihc.go.kr,verified_3,true
S031,구혜자 침선공방,구혜자,침선공방,서울 종로,3,FASHION,패션·액세서리,국가무형유산 침선장,전통 침선 한복 및 손주머니,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S032,방연옥 한산모시,방연옥,한산모시관,충남 서천,3,FASHION,패션·액세서리,국가무형유산 한산모시짜기,천연 한산모시 스카프 및 머플러,http://www.mosi.go.kr,https://support.nihc.go.kr,verified_3,true
S033,김기찬 낙죽공방,김기찬,낙죽장공방,경남 하동,3,FASHION,패션·액세서리,국가무형유산 낙죽장,대나무 표면 인두 인출 합죽선 부채 및 키링,http://www.kpicaa.co.kr,https://support.nihc.go.kr,verified_3,true
S034,이금희 장신구,이금희,전통비녀공방,서울 종로,3,FASHION,패션·액세서리,전통 금속 및 옥 공예,전통 비녀 떨잠 뒤꼬지 은반지,http://www.binyeo.co.kr,https://kcdfshop.kr,verified_2,true
S035,김은영 매듭연구소,김은영,서울매듭,서울 종로,3,FASHION,패션·액세서리,서울시 무형유산 매듭장,현대적 감각의 매듭 목걸이 팔찌 브로치,http://www.maeulp.or.kr,https://kcdf.or.kr,verified_2,true
S036,예당한복 소품,박수영,예당공방,서울 중구,3,FASHION,패션·액세서리,한복 패브릭 소품 전문,조각보 파우치 클러치 카드지갑,http://www.yedang.co.kr,https://shopofkorea.com,verified_2,true
S037,예향패션(더미),홍길동,예향스튜디오,경기 이천,3,FASHION,패션·액세서리,더미 패션 소품,더미 데이터 수량 보완용 가상 판매자,,,,unverified,false
S022,이재만 화각공방,이재만,화각공방,경기 인천,2,HOME,홈·인테리어,국가무형유산 화각장 보유자,황소 뿔을 얇게 갈아 그림을 그린 화각 가구 및 소품,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S023,이형만 나전칠기,이형만,전통공예연구소,강원 원주,2,HOME,홈·인테리어,국가무형유산 나전장 보유자,자개와 옻칠을 결합한 나전 보석함 및 수납함,http://www.kpicaa.co.kr,https://support.nihc.go.kr,verified_3,true
S024,박강용 옻칠공방,박강용,남원옻칠연구소,전북 남원,2,HOME,홈·인테리어,전북 무형유산 옻칠장,전통 정제 옻칠 가구 및 인테리어 화병,http://www.namwonott.com,https://kcdf.or.kr,verified_3,true
S025,소품쟁이 자수표구,김경숙,소품쟁이,서울 종로,2,HOME,홈·인테리어,전통 자수 및 병풍 표구,전통 수자수 액자 및 벽장식 소품,http://www.jasukim.kr,https://jasukim.kr,verified_2,true
S026,조화자 민화연구소,조화자,조화자민화,서울 성북,2,HOME,홈·인테리어,서울시 무형유산 민화장,조선 민화 병풍 및 액자 도자기 화병,http://www.minhwa.co.kr,https://kcdfshop.kr,verified_2,true
S027,에이치케이스튜디오,김현경,HK스튜디오,서울 마포,2,HOME,홈·인테리어,전통 문양 디자인 오르골 및 조명,전통 문양 스탠드 조명 및 아크릴 무드등,https://www.kcdfshop.kr,https://kcdfshop.kr,verified_3,true
S028,양석중 소목공방,양석중,양석중소목연구소,경기 안성,2,HOME,홈·인테리어,국가무형유산 소목장 전수교육사,전통 목가구 사방탁자 및 머릿장,http://www.somok.or.kr,https://nihc.go.kr,verified_3,true
S029,김극천 두석공방,김극천,두석연구소,경남 통영,2,HOME,홈·인테리어,국가무형유산 두석장,전통 가구 금속 장석 및 숟가락 손잡이,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S030,예향홈(더미),홍길동,예향스튜디오,경기 이천,2,HOME,홈·인테리어,더미 홈인테리어 공예,더미 데이터 수량 보완용 가상 판매자,,,,unverified,false
S002,정춘모 갓일공방,정춘모,갓일공방,서울 강남,3,FASHION,패션·액세서리,국가무형유산 갓일 입자장,말총과 대올을 이용한 전통 갓 및 정자관 제작,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S005,김혜순 매듭공방,김혜순,매듭공방,서울 종로,3,FASHION,패션·액세서리,국가무형유산 매듭장,전통 명주실 염색 및 엮음 장신구 노리개,http://www.kpicaa.co.kr,https://support.nihc.go.kr,verified_3,true
S031,구혜자 침선공방,구혜자,침선공방,서울 종로,3,FASHION,패션·액세서리,국가무형유산 침선장,전통 침선 한복 및 손주머니,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S032,방연옥 한산모시,방연옥,한산모시관,충남 서천,3,FASHION,패션·액세서리,국가무형유산 한산모시짜기,천연 한산모시 스카프 및 머플러,http://www.mosi.go.kr,https://support.nihc.go.kr,verified_3,true
S033,김기찬 낙죽공방,김기찬,낙죽장공방,경남 하동,3,FASHION,패션·액세서리,국가무형유산 낙죽장,대나무 표면 인두 인출 합죽선 부채 및 키링,http://www.kpicaa.co.kr,https://support.nihc.go.kr,verified_3,true
S034,이금희 장신구,이금희,전통비녀공방,서울 종로,3,FASHION,패션·액세서리,전통 금속 및 옥 공예,전통 비녀 떨잠 뒤꼬지 은반지,http://www.binyeo.co.kr,https://kcdfshop.kr,verified_2,true
S035,김은영 매듭연구소,김은영,서울매듭,서울 종로,3,FASHION,패션·액세서리,서울시 무형유산 매듭장,현대적 감각의 매듭 목걸이 팔찌 브로치,http://www.maeulp.or.kr,https://kcdf.or.kr,verified_2,true
S036,예당한복 소품,박수영,예당공방,서울 중구,3,FASHION,패션·액세서리,한복 패브릭 소품 전문,조각보 파우치 클러치 카드지갑,http://www.yedang.co.kr,https://shopofkorea.com,verified_2,true
S037,예향패션(더미),홍길동,예향스튜디오,경기 이천,3,FASHION,패션·액세서리,더미 패션 소품,더미 데이터 수량 보완용 가상 판매자,,,,unverified,false
S038,김각한 각자공방,김각한,각자공방,경기 군포,4,DESK,데스크·문구,국가무형유산 각자장,목판 현판 서각 및 인출 서예 용품 제작,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S039,윤규상 한지공방,윤규상,윤규상 한지연구소,충북 충주,4,DESK,데스크·문구,충북 무형유산 한지장,전통 수제 한지 편지지 및 서예 한지 제작,https://www.kcdfshop.kr,https://kcdf.or.kr,verified_3,true
S040,한국전통공예품몰,김진호,숍오브코리아,서울 종로,4,DESK,데스크·문구,전통 데스크 문구 전문 유통,나전칠기 필함 금장책갈피 한지필함 명함집,https://shopofkorea.com,https://shopofkorea.com,verified_3,true
S041,국립박물관문화재단,정용석,몯숍,서울 용산,4,DESK,데스크·문구,박물관 문화상품 및 문구,유물 모티브 전통 만년필 엽서 펜꽂이,https://www.museumshop.or.kr,https://smilebox.tistory.com,verified_3,true
S042,성심필방,안용현,성심필방,전북 전주,4,DESK,데스크·문구,전북 무형유산 모필장,전통 염소털 및 붓 제작 전문 필방,http://www.sungsimpil.co.kr,https://kcdfshop.kr,verified_2,true
S043,예향데스크(더미),홍길동,예향스튜디오,경기 이천,4,DESK,데스크·문구,더미 데스크 문구 공예,더미 데이터 수량 보완용 가상 판매자,,,,unverified,false
S004,윤규상 한지공방,윤규상,윤규상 한지연구소,충북 충주,5,FABRIC,패브릭·생활,충북 무형유산 한지우산장,전통 한지 조각우산 및 파라솔 제작,https://www.kcdfshop.kr,https://kcdf.or.kr,verified_3,true
S025,소품쟁이 자수표구,김경숙,소품쟁이,서울 종로,5,FABRIC,패브릭·생활,전통 자수 및 패브릭,전통 수자수 소품 보자기 및 방석,http://www.jasukim.kr,https://jasukim.kr,verified_2,true
S031,구혜자 침선공방,구혜자,침선공방,서울 종로,5,FABRIC,패브릭·생활,국가무형유산 침선장,전통 누비 침구 및 실크 보자기 복주머니,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S032,방연옥 한산모시,방연옥,한산모시관,충남 서천,5,FABRIC,패브릭·생활,국가무형유산 한산모시짜기,천연 한산모시 러너 러그 패브릭,http://www.mosi.go.kr,https://support.nihc.go.kr,verified_3,true
S044,박인숙 자수공방,박인숙,강릉자수,강원 강릉,5,FABRIC,패브릭·생활,강릉 전통 자수,강릉 자수 보자기 손수건 앞치마,https://www.kcdfshop.kr,https://kcdfshop.kr,verified_3,true
S045,장윤영 보자기,장윤영,장윤영아트,서울 마포,5,FABRIC,패브릭·생활,전통 무늬 미니 보자기,흉배보 적의보 모던 보자기 및 예단보,https://www.kcdfshop.kr,https://kcdfshop.kr,verified_3,true
S046,인네이처 공방,박인선,인네이처,경기 양평,5,FABRIC,패브릭·생활,전통 얼레빗 및 원목 생활소품,원목 빗 퍼즐 윷놀이 및 패브릭 생활용품,https://www.kcdfshop.kr,https://kcdfshop.kr,verified_3,true
S047,예향패브릭(더미),홍길동,예향스튜디오,경기 이천,5,FABRIC,패브릭·생활,더미 패브릭 생활 공예,더미 데이터 수량 보완용 가상 판매자,,,,unverified,falseS008,윤종국 북전수소,윤종국,한국전통북전수소,경기 구리,6,ART,아트·컬렉션,국가무형유산 악기장,용고 및 진고 등 전통 북 메우기 제작,http://www.kpicaa.co.kr,https://support.nihc.go.kr,verified_3,true
S010,영도불교공예,문태국,영도불교종합전시장,부산 영도,6,ART,아트·컬렉션,전통 불교공예 및 악기,탱화 및 전통 목공예품 민속악기 제작,https://ydbk.co.kr,https://ydbk.co.kr,verified_2,true
S038,김각한 각자공방,김각한,각자공방,경기 군포,6,ART,아트·컬렉션,국가무형유산 각자장,현판 서각 및 목판 인출 수제 작품,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S048,유영기 궁시공방,유영기,궁시공방,경기 파주,6,ART,아트·컬렉션,국가무형유산 궁시장,전통 조선 활 각궁 및 전통 화살,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S049,종로불교사,이성호,종로불교사,서울 종로,6,ART,아트·컬렉션,전통 병풍 및 민화 전문,일월오봉도 병풍 및 민화 그림 액자,https://www.jongrobulkyosa.co.kr,https://www.jongrobulkyosa.co.kr,verified_2,true
S050,불교존,박명규,불교존몰,서울 종로,6,ART,아트·컬렉션,전통 민속 소품 및 불교 공예,방짜 마패 풍경 복조리 코뚜레,https://www.buddhazone.co.kr,https://www.buddhazone.co.kr,verified_2,true
S051,하회탈공방,김동표,하회탈박물관,경북 안동,6,ART,아트·컬렉션,경북 무형유산 탈구장,안동 하회탈 및 수제 전통 목조각,http://www.mask.vnet.co.kr,https://shopofkorea.com,verified_3,true
S052,남경숙 조각공방,남경숙,조각공방,서울 강남,6,ART,아트·컬렉션,국가무형유산 조각장 전수교육사,금속조각 은장도 및 상감 공예품,http://www.kpicaa.co.kr,https://support.nihc.go.kr,verified_3,true
S053,예향아트(더미),홍길동,예향스튜디오,경기 이천,6,ART,아트·컬렉션,더미 아트 컬렉션 공예,더미 데이터 수량 보완용 가상 판매자,,,,unverified,false
S001,우희열 명인,우희열,한산소곡주,충남 서천,7,FOOD,식품·전통주,충남 무형유산 한산소곡주,1500년 백제 왕실 전통 약주 양조,https://sogokju.co.kr,https://soollove.com,verified_3,true
S003,김동곤 명차,김동곤,쌍계명차,경남 하동,7,FOOD,식품·전통주,대한민국 식품명인 제28호,지리산 전통 덖음 수제 차 제다,https://www.sktea.com,https://koreagrandmaster.com,verified_3,true
S007,기순도 명가,기순도,기순도 전통장,전남 담양,7,FOOD,식품·전통주,대한민국 식품명인 제35호,360년 씨간장 및 전통 유기농 된장,https://kisundo.com,https://koreagrandmaster.com,verified_3,true
S009,담양한과 명진가,박순애,담양한과,전남 담양,7,FOOD,식품·전통주,대한민국 식품명인 제21호,찹쌀 유과 및 조청 전통한과 세트,https://www.hange.co.kr,https://nonghyupmall.com,verified_3,true
S054,문배주양조원,이기춘,문배주양조원,경기 김포,7,FOOD,식품·전통주,국가무형유산 문배주,문배나무 과실 향이 나는 전통 증류식 소주,http://www.moonbae.net,https://soollove.com,verified_3,true
S055,박흥선 명가,박흥선,명가원,경남 함양,7,FOOD,식품·전통주,대한민국 식품명인 제27호,솔잎과 송순으로 빚은 솔송주 및 담솔,http://www.sol-song.co.kr,https://soollove.com,verified_3,true
S056,전주이강주,조정형,전주이강주,전북 전주,7,FOOD,식품·전통주,대한민국 식품명인 제9호,배와 생강 계피가 어우러진 조선 3대 명주 이강주,http://www.leegangju.co.kr,https://soollove.com,verified_3,true
S057,안동소주 조옥화,조옥화,민속주안동소주,경북 안동,7,FOOD,식품·전통주,경북 무형유산 안동소주,전통 쌀 누룩 직화 증류 방식 45도 안동소주,http://www.andongsoju.com,https://arca.live/b/alcohol/39250274,verified_3,true
S058,안동소주 박재서,박재서,명인안동소주,경북 안동,7,FOOD,식품·전통주,대한민국 식품명인 제6호,100% 쌀 감압 증류 깔끔한 안동소주,http://www.andongsojumall.com,https://arca.live/b/alcohol/39250274,verified_3,true
S059,강순의 김치명가,강순의,강순의나주종가,경기 남양주,7,FOOD,식품·전통주,나주 남파고택 내림 김치 명인,치자백김치 및 파김치 장아찌,http://www.kangsoone.co.kr,https://koreagrandmaster.com,verified_3,true
S060,호정가 유영군,유영군,호정식품,전남 담양,7,FOOD,식품·전통주,대한민국 식품명인 제23호,찹쌀 약과 오란다 쌀조청 전통 한과,http://www.hojungfood.co.kr,https://nonghyupmall.com,verified_3,true
S061,예향식품(더미),홍길동,예향스튜디오,경기 이천,7,FOOD,식품·전통주,더미 식품 전통주,더미 데이터 수량 보완용 가상 판매자,,,,unverified,false
