도메인,담당자,메소드,엔드포인트,기능명,설명,인증,상태,우선순위,요청(Request),응답(Response),대표에러(Error)
회원,유창민,DELETE,/api/member/me,회원 탈퇴,회원 탈퇴를 처리한다,Authenticated,예정,P1,"{
  ""method"": ""DELETE"",
  ""url"": ""/api/member/me"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""body"": {
    ""reason"": ""string · 필수 — AI가 생성한 추천 이유""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": ""null""
}",
회원,유창민,GET,/api/member/me/addresses,배송지 목록 조회,회원의 배송지 목록을 조회한다,USER,예정,P1,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/me/addresses"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": [
    {
      ""addressId"": ""number — 배송지 ID"",
      ""recipientName"": ""string — 수령인명"",
      ""phone"": ""string — 전화번호(하이픈 제외 숫자만)"",
      ""zipCode"": ""string — 우편번호"",
      ""address1"": ""string — 기본주소"",
      ""address2"": ""string — 상세주소"",
      ""isDefault"": ""boolean — 기본값 여부""
    }
  ]
}",
회원,유창민,POST,/api/member/me/addresses,배송지 등록,배송지를 등록한다,USER,예정,P1,"{
  ""method"": ""POST"",
  ""url"": ""/api/member/me/addresses"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""body"": {
    ""recipientName"": ""string · 필수 — 수령인명"",
    ""phone"": ""string · 필수 — 전화번호(하이픈 제외 숫자만)"",
    ""zipCode"": ""string · 필수 — 우편번호"",
    ""address1"": ""string · 필수 — 기본주소"",
    ""address2"": ""string · 필수 — 상세주소"",
    ""isDefault"": ""boolean · 필수 — 기본값 여부""
  }
}","{
  ""success"": true,
  ""status"": 201,
  ""data"": {
    ""addressId"": ""number — 배송지 ID"",
    ""recipientName"": ""string — 수령인명"",
    ""phone"": ""string — 전화번호(하이픈 제외 숫자만)"",
    ""zipCode"": ""string — 우편번호"",
    ""address1"": ""string — 기본주소"",
    ""address2"": ""string — 상세주소"",
    ""isDefault"": ""boolean — 기본값 여부""
  }
}",
회원,유창민,PATCH,/api/member/me/addresses/{addressId},배송지 수정,배송지 정보를 수정한다,USER,예정,P1,"{
  ""method"": ""PATCH"",
  ""url"": ""/api/member/me/addresses/{addressId}"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""body"": {
    ""recipientName"": ""string · 선택 — 수령인명"",
    ""phone"": ""string · 선택 — 전화번호(하이픈 제외 숫자만)"",
    ""zipCode"": ""string · 선택 — 우편번호"",
    ""address1"": ""string · 선택 — 기본주소"",
    ""address2"": ""string · 선택 — 상세주소"",
    ""isDefault"": ""boolean · 선택 — 기본값 여부""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""addressId"": ""number — 배송지 ID"",
    ""recipientName"": ""string — 수령인명"",
    ""phone"": ""string — 전화번호(하이픈 제외 숫자만)"",
    ""zipCode"": ""string — 우편번호"",
    ""address1"": ""string — 기본주소"",
    ""address2"": ""string — 상세주소"",
    ""isDefault"": ""boolean — 기본값 여부""
  }
}",
회원,유창민,DELETE,/api/member/me/addresses/{addressId},배송지 삭제,배송지를 삭제한다,USER,예정,P1,"{
  ""method"": ""DELETE"",
  ""url"": ""/api/member/me/addresses/{addressId}"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": ""null""
}",
회원,유창민,GET,/api/member/me/wishes,찜 목록 조회,찜한 상품 목록을 조회한다,USER,예정,P1,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/me/wishes"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""queryParams"": {
    ""cursor"": ""string · 선택"",
    ""limit"": ""string · 선택""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""items"": [
      {
        ""productId"": ""number — 상품 고유 ID"",
        ""name"": ""string — 이름/명칭"",
        ""price"": ""number — 가격, 원 단위 정수"",
        ""thumbnailUrl"": ""string — 썸네일 이미지 URL"",
        ""status"": ""string (enum, 예: `ON_SALE`, 동적 값)"",
        ""category"": ""string (enum, 예: `POTTERY`, 동적 값) — 종목/카테고리 코드"",
        ""color"": ""string (enum: `WHITE`(화이트) | `BLACK`(블랙) | `GRAY`(그레이) | `RED`(레드) | `BLUE`(블루) | `GREEN`(그린) | `BROWN`(브라운)) — 컬러 코드"",
        ""giftTheme"": ""string (enum: `HOUSEWARMING`(집들이) | `WEDDING`(웨딩) | `PARENTS`(부모님) | `PROMOTION`(승진) | `BIRTHDAY_60TH`(돌·환갑) | `BOSS`(상사) | `FRIEND`(친구) | `CORPORATE`(기업·단체)) — 선물테마 코드"",
        ""rating"": ""number — 평균 평점(후기 없으면 null)"",
        ""isLimited"": ""boolean — 한정수량 여부"",
        ""isCustomOrder"": ""boolean — 주문제작 여부"",
        ""isSingleItem"": ""boolean — 총재고 1, 재입고 없음 여부"",
        ""isNew"": ""boolean — 신작 여부(최근 등록된 상품)"",
        ""hasGiftWrap"": ""boolean — 선물포장 가능 여부"",
        ""hasOptions"": ""boolean — 옵션 존재 여부"",
        ""purposeTags"": [
          ""string — 용도 태그 배열(선물/다도 등)""
        ],
        ""artisanId"": ""number — 장인 고유 ID"",
        ""artisanName"": ""string""
      }
    ],
    ""nextCursor"": ""string"",
    ""hasNext"": ""boolean"",
    ""totalCount"": ""number""
  }
}",
회원,유창민,GET,/api/member/me/orders,주문 목록 조회,회원의 주문 내역을 조회한다,USER,예정,P1,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/me/orders"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""queryParams"": {
    ""cursor"": ""string · 선택"",
    ""limit"": ""string · 선택"",
    ""status"": ""string (enum, 예: `ALL`, 동적 값) · 선택""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""items"": [
      {
        ""orderId"": ""number — 주문 고유 ID"",
        ""orderNumber"": ""string (enum, 예: `ORD20260825001`, 동적 값) — 사람이 보는 주문번호(orderId와 별개 식별자)"",
        ""status"": ""string (enum, 예: `PAID`, 동적 값)"",
        ""totalAmount"": ""number — 총 주문 금액"",
        ""createdAt"": ""string (ISO 8601 datetime) — 생성 일시, ISO 8601""
      }
    ],
    ""nextCursor"": ""string"",
    ""hasNext"": ""boolean"",
    ""totalCount"": ""number""
  }
}",
회원,유창민,GET,/api/member/me/orders/{orderId},주문 상세 조회,회원의 주문 상세 정보를 조회한다,USER,예정,P1,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/me/orders/{orderId}"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""orderId"": ""number — 주문 고유 ID"",
    ""orderNumber"": ""string (enum, 예: `ORD20260825001`, 동적 값) — 사람이 보는 주문번호(orderId와 별개 식별자)"",
    ""status"": ""string (enum, 예: `PAID`, 동적 값)"",
    ""totalAmount"": ""number — 총 주문 금액"",
    ""createdAt"": ""string (ISO 8601 datetime) — 생성 일시, ISO 8601"",
    ""items"": [
      {
        ""orderItemId"": ""number"",
        ""productId"": ""number — 상품 고유 ID"",
        ""productName"": ""string"",
        ""price"": ""number — 가격, 원 단위 정수"",
        ""quantity"": ""number — 수량""
      }
    ],
    ""address"": {
      ""addressId"": ""number — 배송지 ID"",
      ""recipientName"": ""string — 수령인명"",
      ""phone"": ""string — 전화번호(하이픈 제외 숫자만)"",
      ""zipCode"": ""string — 우편번호"",
      ""address1"": ""string — 기본주소"",
      ""address2"": ""string — 상세주소"",
      ""isDefault"": ""boolean — 기본값 여부""
    }
  }
}",
회원,유창민,GET,/api/member/me/reviews/writable,작성 가능 후기 조회,후기 작성이 가능한 주문 상품을 조회한다,USER,예정,P2,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/me/reviews/writable"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""queryParams"": {
    ""cursor"": ""string · 선택"",
    ""limit"": ""string · 선택""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""items"": [
      {
        ""orderItemId"": ""number"",
        ""productId"": ""number — 상품 고유 ID"",
        ""productName"": ""string"",
        ""thumbnailUrl"": ""string — 썸네일 이미지 URL""
      }
    ],
    ""nextCursor"": ""string"",
    ""hasNext"": ""boolean"",
    ""totalCount"": ""number""
  }
}",
회원,유창민,GET,/api/member/me/reviews,내 후기 조회,회원이 작성한 후기를 조회한다,USER,예정,P2,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/me/reviews"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""queryParams"": {
    ""cursor"": ""string · 선택"",
    ""limit"": ""string · 선택""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""items"": [
      {
        ""reviewId"": ""number — 후기 ID"",
        ""productId"": ""number — 상품 고유 ID"",
        ""rating"": ""number — 평균 평점(후기 없으면 null)"",
        ""content"": ""string — 본문 내용"",
        ""images"": [
          ""string""
        ],
        ""writerNickname"": ""string"",
        ""createdAt"": ""string (ISO 8601 datetime) — 생성 일시, ISO 8601""
      }
    ],
    ""nextCursor"": ""string"",
    ""hasNext"": ""boolean"",
    ""totalCount"": ""number""
  }
}",
회원,유창민,GET,/api/member/artisans/{artisanId},장인 정보 조회,장인의 프로필과 인증 정보를 조회한다,Public,예정,P1,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/artisans/{artisanId}"",
  ""headers"": {
    ""Content-Type"": ""application/json""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""artisanId"": ""number — 장인 고유 ID"",
    ""businessName"": ""string — 공방명"",
    ""introduction"": ""string — 한 줄 소개"",
    ""profileImageUrl"": ""string — 프로필 이미지 URL"",
    ""certificationLevel"": ""string (enum: `보유자`(국가유산청 지정 국가무형유산 보유자) | `전승교육사`(지정 전승교육사) | `이수자`(이수증 취득자) | `일반`(인증 등급 없음)) — 인증 등급(전승 단계)"",
    ""isOrganization"": ""boolean — 단체 지정 여부"",
    ""certificationStatus"": ""string (enum, 예: `APPROVED`, 동적 값)"",
    ""category"": ""string (enum, 예: `POTTERY`, 동적 값) — 종목/카테고리 코드"",
    ""region"": ""string — 활동 지역"",
    ""careerYears"": ""number — 경력 연수"",
    ""productCount"": ""number — 등록 작품 총수"",
    ""topProducts"": [
      {
        ""productId"": ""number — 상품 고유 ID"",
        ""thumbnailUrl"": ""string — 썸네일 이미지 URL""
      }
    ],
    ""certifiedYear"": ""number — 지정 연도"",
    ""lineage"": ""string — 계보"",
    ""quote"": ""string — 인용문"",
    ""bio"": ""string — 상세 소개 본문"",
    ""videoUrl"": ""string — 영상 URL(등록 방식)"",
    ""careerTimeline"": [
      {
        ""year"": ""number"",
        ""title"": ""string"",
        ""description"": ""string — 설명""
      }
    ]
  }
}","{
  ""success"": false,
  ""status"": 404,
  ""errorCode"": ""NOT_FOUND""
}"
회원,유창민,GET,/api/member/artisans/me,내 장인 정보 조회,현재 장인의 정보를 조회한다,ARTISAN,예정,P1,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/artisans/me"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""artisanId"": ""number — 장인 고유 ID"",
    ""businessName"": ""string — 공방명"",
    ""introduction"": ""string — 한 줄 소개"",
    ""profileImageUrl"": ""string — 프로필 이미지 URL"",
    ""certificationLevel"": ""string (enum: `보유자`(국가유산청 지정 국가무형유산 보유자) | `전승교육사`(지정 전승교육사) | `이수자`(이수증 취득자) | `일반`(인증 등급 없음)) — 인증 등급(전승 단계)"",
    ""isOrganization"": ""boolean — 단체 지정 여부"",
    ""certificationStatus"": ""string (enum, 예: `APPROVED`, 동적 값)"",
    ""category"": ""string (enum, 예: `POTTERY`, 동적 값) — 종목/카테고리 코드"",
    ""region"": ""string — 활동 지역"",
    ""careerYears"": ""number — 경력 연수"",
    ""productCount"": ""number — 등록 작품 총수"",
    ""topProducts"": [
      {
        ""productId"": ""number — 상품 고유 ID"",
        ""thumbnailUrl"": ""string — 썸네일 이미지 URL""
      }
    ],
    ""certifiedYear"": ""number — 지정 연도"",
    ""lineage"": ""string — 계보"",
    ""quote"": ""string — 인용문"",
    ""bio"": ""string — 상세 소개 본문"",
    ""videoUrl"": ""string — 영상 URL(등록 방식)"",
    ""careerTimeline"": [
      {
        ""year"": ""number"",
        ""title"": ""string"",
        ""description"": ""string — 설명""
      }
    ]
  }
}",
회원,유창민,PATCH,/api/member/artisans/me,장인 정보 수정,장인 프로필 및 소개 정보를 수정한다,ARTISAN,예정,P1,"{
  ""method"": ""PATCH"",
  ""url"": ""/api/member/artisans/me"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""body"": {
    ""businessName"": ""string · 선택 — 공방명"",
    ""introduction"": ""string · 선택 — 한 줄 소개"",
    ""profileImageUrl"": ""string · 선택 — 프로필 이미지 URL"",
    ""category"": ""string (enum, 예: `POTTERY`, 동적 값) · 선택 — 종목/카테고리 코드"",
    ""region"": ""string · 선택 — 활동 지역"",
    ""careerYears"": ""number · 선택 — 경력 연수"",
    ""certifiedYear"": ""number · 선택 — 지정 연도"",
    ""lineage"": ""string · 선택 — 계보"",
    ""quote"": ""string · 선택 — 인용문"",
    ""bio"": ""string · 선택 — 상세 소개 본문"",
    ""videoUrl"": ""string · 선택 — 영상 URL(등록 방식)""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""artisanId"": ""number — 장인 고유 ID"",
    ""businessName"": ""string — 공방명"",
    ""introduction"": ""string — 한 줄 소개"",
    ""profileImageUrl"": ""string — 프로필 이미지 URL"",
    ""certificationLevel"": ""string (enum: `보유자`(국가유산청 지정 국가무형유산 보유자) | `전승교육사`(지정 전승교육사) | `이수자`(이수증 취득자) | `일반`(인증 등급 없음)) — 인증 등급(전승 단계)"",
    ""isOrganization"": ""boolean — 단체 지정 여부"",
    ""certificationStatus"": ""string (enum, 예: `APPROVED`, 동적 값)"",
    ""category"": ""string (enum, 예: `POTTERY`, 동적 값) — 종목/카테고리 코드"",
    ""region"": ""string — 활동 지역"",
    ""careerYears"": ""number — 경력 연수"",
    ""productCount"": ""number — 등록 작품 총수"",
    ""topProducts"": [
      {
        ""productId"": ""number — 상품 고유 ID"",
        ""thumbnailUrl"": ""string — 썸네일 이미지 URL""
      }
    ],
    ""certifiedYear"": ""number — 지정 연도"",
    ""lineage"": ""string — 계보"",
    ""quote"": ""string — 인용문"",
    ""bio"": ""string — 상세 소개 본문"",
    ""videoUrl"": ""string — 영상 URL(등록 방식)"",
    ""careerTimeline"": [
      {
        ""year"": ""number"",
        ""title"": ""string"",
        ""description"": ""string — 설명""
      }
    ]
  }
}",
회원,유창민,POST,/api/member/artisans/applications,장인 가입 신청,장인 가입 및 인증 심사를 신청한다,ARTISAN,예정,P1,"{
  ""method"": ""POST"",
  ""url"": ""/api/member/artisans/applications"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""body"": {
    ""businessName"": ""string · 필수 — 공방명"",
    ""introduction"": ""string · 필수 — 한 줄 소개"",
    ""businessLicenseImageUrl"": ""string · 필수""
  }
}","{
  ""success"": true,
  ""status"": 201,
  ""data"": {
    ""applicationId"": ""number — 장인 가입 신청 ID"",
    ""memberId"": ""number — 회원 고유 ID"",
    ""businessName"": ""string — 공방명"",
    ""status"": ""string (enum: `PENDING`(심사대기) | `APPROVED`(승인됨 — 회원 role이 ARTISAN으로 전환) | `REJECTED`(반려됨(사유 포함)))"",
    ""submittedAt"": ""string (ISO 8601 datetime) — 제출 일시, ISO 8601""
  }
}","{
  ""success"": false,
  ""status"": 409,
  ""errorCode"": ""CONFLICT""
}"
상품,강정훈,GET,/api/products/me,내 상품 목록 조회,장인이 등록한 상품을 조회한다,ARTISAN,예정,P0,"{
  ""method"": ""GET"",
  ""url"": ""/api/products/me"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""queryParams"": {
    ""cursor"": ""string · 선택"",
    ""limit"": ""string · 선택"",
    ""status"": ""string (enum, 예: `ALL`, 동적 값) · 선택""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""items"": [
      {
        ""productId"": ""number — 상품 고유 ID"",
        ""name"": ""string — 이름/명칭"",
        ""price"": ""number — 가격, 원 단위 정수"",
        ""thumbnailUrl"": ""string — 썸네일 이미지 URL"",
        ""status"": ""string (enum, 예: `ON_SALE`, 동적 값)"",
        ""category"": ""string (enum, 예: `POTTERY`, 동적 값) — 종목/카테고리 코드"",
        ""color"": ""string (enum: `WHITE`(화이트) | `BLACK`(블랙) | `GRAY`(그레이) | `RED`(레드) | `BLUE`(블루) | `GREEN`(그린) | `BROWN`(브라운)) — 컬러 코드"",
        ""giftTheme"": ""string (enum: `HOUSEWARMING`(집들이) | `WEDDING`(웨딩) | `PARENTS`(부모님) | `PROMOTION`(승진) | `BIRTHDAY_60TH`(돌·환갑) | `BOSS`(상사) | `FRIEND`(친구) | `CORPORATE`(기업·단체)) — 선물테마 코드"",
        ""rating"": ""number — 평균 평점(후기 없으면 null)"",
        ""isLimited"": ""boolean — 한정수량 여부"",
        ""isCustomOrder"": ""boolean — 주문제작 여부"",
        ""isSingleItem"": ""boolean — 총재고 1, 재입고 없음 여부"",
        ""isNew"": ""boolean — 신작 여부(최근 등록된 상품)"",
        ""hasGiftWrap"": ""boolean — 선물포장 가능 여부"",
        ""hasOptions"": ""boolean — 옵션 존재 여부"",
        ""purposeTags"": [
          ""string — 용도 태그 배열(선물/다도 등)""
        ],
        ""artisanId"": ""number — 장인 고유 ID"",
        ""artisanName"": ""string""
      }
    ],
    ""nextCursor"": ""string"",
    ""hasNext"": ""boolean"",
    ""totalCount"": ""number""
  }
}",
